fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
